Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Latitude,Longitude,Nearest Waste Site,Nearest Site Category,Distance,Within 45 Mins?
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY62,POOLE COMMUNITY HEALTH CLINIC,BH15 2NT,50.721888,-1.976382,Canford Recycling Centre,Treatment,10.0 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY99,DELPHWOOD,BH17 8WG,50.747542,-1.966519,Canford Recycling Centre,Treatment,8.1 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEF,WEYMOUTH COMMUNITY HOSPITAL,DT4 7TB,50.621025,-2.451009,Canford Recycling Centre,Treatment,53.7 km,No
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEG,WESTHAVEN HOSPITAL,DT4 0QE,50.61501,-2.479941,Canford Recycling Centre,Treatment,54.7 km,No
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEH,PORTLAND HOSPITAL,DT5 1AX,50.565805,-2.444819,Canford Recycling Centre,Treatment,61.8 km,No
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEJ,BRIDPORT COMMUNITY HOSPITAL,DT6 5DR,50.741594,-2.769929,South West Waste Recovery Facility,Treatment,37.1 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYER,BLANDFORD COMMUNITY HOSPITAL,DT11 7DD,50.863063,-2.16798,Canford Recycling Centre,Treatment,24.1 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEW,"FORSTON CLINIC, HERRISON",DT2 9TB,50.754318,-2.45334,Canford Recycling Centre,Treatment,45.9 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEY,WESTMINSTER MEMORIAL HOSPITAL,SP7 8BD,51.004714,-2.200145,Frome Clinical Waste Treatment Plant and Transfer Station,Treatment,35.3 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFC,YEATMAN HOSPITAL,DT9 3JU,50.949725,-2.519044,Frome Clinical Waste Treatment Plant and Transfer Station,Treatment,46.0 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFD,WAREHAM COMMUNITY HOSPITAL,BH20 4QQ,50.686975,-2.116741,Canford Recycling Centre,Treatment,24.6 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFE,WIMBORNE COMMUNITY HOSPITAL,BH21 1ER,50.802186,-1.995911,Canford Recycling Centre,Treatment,9.1 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFF,SWANAGE COMMUNITY HOSPITAL,BH19 2ES,50.605498,-1.961207,Canford Recycling Centre,Treatment,39.5 km,No
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFG,ST LEONARDS COMMUNITY HOSPITAL,BH24 2RR,50.81735,-1.856599,Canford Recycling Centre,Treatment,10.4 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFP,FREDERICK TREVES HOUSE,DT1 2FD,50.713492,-2.457605,Canford Recycling Centre,Treatment,42.9 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFT,MAIDEN CASTLE,DT1 2ER,50.706052,-2.444546,Canford Recycling Centre,Treatment,43.9 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYJP,LITTLEMOOR HEALTH CENTRE,DT3 6SA,50.647736,-2.455409,Canford Recycling Centre,Treatment,49.6 km,No
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYNM,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST HQ (SENTINAL HOUSE),BH17 0RB,50.740063,-1.978032,Canford Recycling Centre,Treatment,9.9 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYORS,OTHER REPORTABLE SITES,BH1 4JQ,50.729255,-1.841466,Canford Recycling Centre,Treatment,12.7 km,Yes
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REF01,WEST CORNWALL HOSPITAL,TR18 2PF,50.122046,-5.543031,Stoneybridge Park EPR/YP3934SM,Incineration,98.9 km,No
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REF02,ST MICHAELS HOSPITAL,TR27 4JA,50.180342,-5.424475,Stoneybridge Park EPR/YP3934SM,Incineration,86.0 km,No
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REF12,ROYAL CORNWALL HOSPITAL,TR1 3LJ,50.266675,-5.091511,Stoneybridge Park EPR/YP3934SM,Incineration,69.1 km,No
