Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes)
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH858,EXMOUTH HOSPITAL,EX8 2JN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),4397,0.8,4651,3.99,4303,4.22,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH859,VICTORIA HOSPITAL (SIDMOUTH),EX10 8EW,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),2384,1.31,2186,2.7,4133,6.04,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH868,MARDON HOUSE,EX2 4UD,NHS DEVON ICB,DEVON COUNTY COUNCIL,Other inpatient,1803,3.09,0,0,0,0,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH879,SOUTH DEVON RENAL UNIT,TQ2 7JF,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,48880,30.89,0,0,2093,2.08,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH880,NORTH DEVON DISTRICT HOSPITAL,EX31 4JB,NHS DEVON ICB,DEVON COUNTY COUNCIL,General acute hospital,128537,146.69,45786,91.98,37427,111.19,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8A1,"NEWCOURT HOUSE, EXETER",EX2 7JU,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8A4,SEATON HOSPITAL,EX12 2UU,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1085,0.23,789,0.49,340,0.07,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8D6,EXETER COMMUNITY HOSPITAL,EX1 3RB,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,3316,1.25,3660,3.38,468,0.26,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8G6,BIDEFORD HOSPITAL,EX39 3AG,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,332,0.5,984,1.69,1658,2.31,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8H8,NHS WALK-IN CENTRE - EXETER,EX4 6NN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1247,0.29,3510,4.38,5,0.01,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8K6,NHS NIGHTINGALE HOSPITAL EXETER,EX2 7JG,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,16108,22.7,0,0,0,0,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8ORS,OTHER REPORTABLE SITES,EX2 5DW,NHS DEVON ICB,DEVON COUNTY COUNCIL,Other Reportable Site,4481,1,5372,6,838,1,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,V2W0R,DEVONSHIRE HOUSE,EX31 1QN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,A3C6M,UNIT 4 (BUSH PARK),PL6 7RG,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,A3K7K,RESIDENCES - PLYMBRIDGE,PL6 8AJ,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,A8N8J,PENINSULA COLLEGE OF MEDICINE,PL6 8BU,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,9981,16.49,0,0,0,0,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,C7C1D,BIRCHAM HOUSE,PL6 5WR,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,H5R4Z,PENINSULA RADIOLOGY,PL6 5WR,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,1433,0.72,0,0,38,0.12,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,L0N3Y,UHP WAREHOUSE,PL6 7EZ,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,M2H2H,NU BUILDING,PL6 5YE,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,0,0,0,0,63,0.12,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,P2G6V,RIVERFORD HOUSE,PL6 7PL,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,354,0.12,0,0,6,0.02,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK901,MOUNT GOULD HOSPITAL,PL4 7QD,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Community hospital (with inpatient beds),12794,12.94,0,0,685,2.17,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK906,"CUMBERLAND CENTRE, DAMEREL CLOSE",PL1 4JZ,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK922,TAVISTOCK HOSPITAL,PL19 8LD,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),8311,11.95,0,0,632,2.01,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK925,SCOTT HOSPITAL,PL2 2PQ,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,1332,0.49,0,0,26,0.08,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK935,SOUTH HAMS HOSPITAL,TQ7 1AT,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),5376,8.42,0,0,445,1.42,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK950,DERRIFORD HOSPITAL,PL6 8DH,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Specialist hospital (acute only),634799,1225.28,0,0,64382,203.69,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK953,ROYAL EYE INFIRMARY,PL4 6PL,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK959,MOUNT GOULD LOCAL CARE CENTRE,PL4 7PY,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Community hospital (with inpatient beds),26817,34.86,0,0,1844,5.86,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK960,THE PLYMOUTH DIALYSIS UNIT,PL6 7FL,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,29874,32.54,0,0,1721,5.47,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK9ORS,OTHER REPORTABLE SITES,PL6 8DH,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Other Reportable Site,1208,0.7,0,0,37,0.12,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,T5Q9D,UNIVERSITY HOSPITALS PLYMOUTH ESTOVER,PL6 7LX,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,8920,1.92,0,0,102,0.32,0,0,0,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,Z2K9J,DIGITAL AND INNOVATION,PL6 8BT,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,Z3H9N,BRIDGE HOUSE,PL6 7PL,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,Q2A7P,BROOKLAND HALL,BS2 9RU,NHS DEVON ICB,BRISTOL CITY COUNCIL,Mental Health (including Specialist services),0,0,0,0,145,0.03,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV05,BIDEFORD AND DISTRICT HOSPITAL (ABBOTSVALE),EX39 3AG,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),0,0,0,0,29,0.01,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV0C,JASMINE LODGE,EX2 5AG,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),0,0,0,0,233,0.06,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV12,NORTH DEVON DISTRICT HOSPITAL,EX31 4JB,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),9091,11.25,450,0.89,3436,7.9,0,0,2194,6.53
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV16,"CHADWELL CENTRE, PAIGNTON",TQ3 2DW,NHS DEVON ICB,TORBAY COUNCIL,Mental Health (including Specialist services),103,0.02,0,0,243,0.04,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV25,BRIARS CREATIVE THERAPY SERVICE,EX2 9JD,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),0,0,0,0,116,0.02,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV27,NEW LEAF,EX6 8AB,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),0,0,0,0,116,0.02,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV28,COMPASS HOUSE,EX2 4TL,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),0,0,0,0,204,0.04,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV29,TIVERTON HOSPITAL,EX16 6NT,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health and Learning Disabilities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV40,SHERBOURNE HOUSE,TQ12 2PF,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,45,0.02,0,0,213,0.03,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV52,ST. JOHNS COURT,EX8 4DD,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),54,0.01,0,0,203,0.09,0,0,0,0
