Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes),Latitude,Longitude,Incin_Waste,AT_Waste,Total_Waste,Cluster
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY22,ALDERNEY HOSPITAL,BH12 4NB,NHS DORSET ICB,BCP COUNCIL,Community hospital (with inpatient beds),1285,1.07,2397,2.2,14257,17.55,0,0,0,0,50.749698,-1.940974,1.07,19.75,20.82,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY24,DOUGLAS HOUSE,BH6 5AJ,NHS DORSET ICB,BCP COUNCIL,Non inpatient,40,0.01,210,0.11,121,0.1,0,0,0,0,50.728137,-1.814834,0.01,0.21000000000000002,0.22000000000000003,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY25,HILLCREST,BH10 4EU,NHS DORSET ICB,BCP COUNCIL,Non inpatient,323,0.09,0,0.0,0,0.0,0,0,0,0,50.749476,-1.89448,0.09,0.0,0.09,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY35,OAKLEY HOUSE,BH21 1SF,NHS DORSET ICB,BCP COUNCIL,Mental Health and Learning Disabilities,177,0.07,0,0.0,261,0.5,0,0,0,0,50.787013,-1.972009,0.07,0.5,0.5700000000000001,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY38,FAIRMILE HOUSE (THE FLAGHEAD),BH23 2JT,NHS DORSET ICB,BCP COUNCIL,Non inpatient,2443,0.82,1131,0.82,506,0.06,0,0,0,0,50.743144,-1.792226,0.82,0.8799999999999999,1.6999999999999997,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY62,POOLE COMMUNITY HEALTH CLINIC,BH15 2NT,NHS DORSET ICB,BCP COUNCIL,Non inpatient,130,0.03,422,0.31,136,0.1,0,0,0,0,50.721888,-1.976382,0.03,0.41000000000000003,0.44000000000000006,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY99,DELPHWOOD,BH17 8WG,NHS DORSET ICB,BCP COUNCIL,Non inpatient,0,0.0,0,0.0,181,0.03,0,0,0,0,50.747542,-1.966519,0.0,0.03,0.03,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEF,WEYMOUTH COMMUNITY HOSPITAL,DT4 7TB,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,2003,2.15,1748,1.67,5842,4.34,0,0,0,0,50.621025,-2.451009,2.15,6.01,8.16,0
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEG,WESTHAVEN HOSPITAL,DT4 0QE,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),1899,0.84,2102,2.05,6976,7.57,0,0,0,0,50.61501,-2.479941,0.84,9.620000000000001,10.46,0
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEH,PORTLAND HOSPITAL,DT5 1AX,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,546,0.33,98,0.05,424,0.79,0,0,0,0,50.565805,-2.444819,0.33,0.8400000000000001,1.1700000000000002,0
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEJ,BRIDPORT COMMUNITY HOSPITAL,DT6 5DR,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),1668,1.33,3210,2.48,7411,6.92,0,0,0,0,50.741594,-2.769929,1.33,9.4,10.73,-1
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYER,BLANDFORD COMMUNITY HOSPITAL,DT11 7DD,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),662,0.5,2751,2.31,5969,5.2,0,0,0,0,50.863063,-2.16798,0.5,7.51,8.01,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEW,"FORSTON CLINIC, HERRISON",DT2 9TB,NHS DORSET ICB,DORSET COUNCIL,Mental Health and Learning Disabilities,2350,1.68,938,0.76,2388,3.35,0,0,0,0,50.754318,-2.45334,1.68,4.11,5.79,0
