Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes),Latitude,Longitude
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH572,ROWAN,BA20 2BX,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Mental Health (including Specialist services),4238,1.02,296,0.53,535,1.7,0,0,0,0,50.946533,-2.648117
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH576,HOLFORD,TA2 7AZ,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Mental Health (including Specialist services),1329,0.44,182,0.31,2122,7.8,0,0,0,0,51.03289,-3.101937
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5A8,MUSGROVE PARK HOSPITAL,TA1 5DA,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,General acute hospital,152569,97.14,108511,142.65,149394,318.36,0,0,0,0,51.011569,-3.121702
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5C5,BROADWAY HOUSE,TA6 5YA,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Mental Health (including Specialist services),425,0.12,57,0.07,394,0.88,0,0,0,0,,
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5C8,GLANVILLE HOUSE,TA6 5AT,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Mental Health (including Specialist services),502,0.14,52,0.1,259,0.06,0,0,0,0,51.131103,-2.998114
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5D1,FOUNDATION HOUSE,TA2 7PQ,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Non inpatient,66,0.02,0,0,833,1.4,0,0,0,0,51.031851,-3.102383
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F1,WELLINGTON AND DISTRICT COTTAGE HOSPITAL,TA21 8QQ,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Non inpatient,2039,0.88,338,0.63,1144,3.75,0,0,0,0,50.976665,-3.227424
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F2,CHARD HOSPITAL,TA20 1NF,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),3825,0.82,936,1.75,1211,3.93,0,0,0,0,50.874987,-2.952378
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F4,BURNHAM-ON-SEA WAR MEMORIAL HOSPITAL,TA8 1ED,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),3791,0.81,1586,2.57,2448,8.03,0,0,0,0,51.238794,-2.993884
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F5,MINEHEAD COMMUNITY HOSPITAL,TA24 6DF,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),1428,0.8,2106,3.3,4022,13.1,0,0,0,0,51.200109,-3.461912
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F6,WILLITON HOSPITAL,TA4 4RA,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),1419,0.6,1534,2.47,2540,8.33,0,0,0,0,51.162884,-3.323221
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F7,SHEPTON MALLET COMMUNITY HOSPITAL,BA4 4PG,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Non inpatient,2591,0.69,936,1.75,1165,3.79,0,0,0,0,51.190569,-2.562487
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F8,WEST MENDIP COMMUNITY HOSPITAL,BA6 8JD,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),3713,0.92,2475,4.09,5624,18.3,0,0,0,0,51.160472,-2.699235
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F9,CREWKERNE HOSPITAL,TA18 8BG,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),1666,0.37,1768,3.2,2448,8.03,0,0,0,0,50.880112,-2.797939
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5G1,SOUTH PETHERTON HOSPITAL,TA13 5AR,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),3004,0.71,2080,3.49,2448,8.02,0,0,0,0,50.953222,-2.800489
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5G2,WINCANTON COMMUNITY HOSPITAL,BA9 9DQ,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),2148,0.85,1326,2.48,2425,7.95,0,0,0,0,51.058747,-2.418169
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5G3,DENE BARTON COMMUNITY UNIT,TA4 1DD,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),345,0.16,146,0.26,641,2.1,0,0,0,0,51.037581,-3.182221
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5G5,FROME COMMUNITY HOSPITAL,BA11 2FH,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),3086,1.16,1638,3.07,3359,10.95,0,0,0,0,51.237312,-2.311565
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5H5,ST ANDREWS,BA5 1TH,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Mental Health (including Specialist services),0,0,0,0,1,0.01,0,0,0,0,51.202969,-2.655807
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5K6,BRIDGWATER COMMUNITY HOSPITAL,TA6 5AH,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Community hospital (with inpatient beds),10784,3.83,4139,7.57,7694,24.65,0,0,0,0,,
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5O4,YEOVIL DISTRICT HOSPITAL,BA21 4AT,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,General acute hospital,37068,36.18,60664,120.35,87198,181.88,0,0,0,0,50.944835,-2.634713
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5ORS,OTHER REPORTABLE SITES,TA6 4RN,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Other Reportable Site,6166,3.26,3199,5.85,4967,10.14,0,0,0,0,51.148585,-2.994789
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5Q9,MEDICAL RECORDS,TA2 8RX,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.027793,-3.08054
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5S9,THE EXCHANGE,TA6 4RR,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.145671,-2.991609
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5U8,EAST REACH CLINIC,TA1 3ES,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,51.015717,-3.092933
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,T9B5Q,DIAGNOSTIC OPHTHALMOLOGY CENTRE,TA1 2PX,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,51.014077,-3.068003
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,U2K0F,YEOVIL MEDICAL RECORDS,BA22 8RP,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.948825,-2.681418
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,E8Q7Z,HOLSWORTHY HOSPITAL,EX22 6JQ,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,637,0.34,107,0.08,644,0.72,0,0,0,0,50.818314,-4.34969
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,J7S5V,KESTREL PPE STORE,EX2 7LA,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,50.718208,-3.467488
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,K0K6H,ILFRACOMBE HOSPITAL,EX34 8JF,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1654,0.24,1084,0.57,569,0.93,0,0,0,0,51.204513,-4.124444
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,K6V4F,TORRINGTON HOSPITAL,EX38 7BJ,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,3303,0.66,13,0.02,486,0.79,0,0,0,0,50.954721,-4.136994
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,L4L6K,BARNSTAPLE HEALTH CENTRE,EX32 7BH,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,332,0.35,890,1.05,2187,2.97,0,0,0,0,51.083289,-4.056102
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH801,ROYAL DEVON & EXETER HOSPITAL (WONFORD),EX2 5DW,NHS DEVON ICB,DEVON COUNTY COUNCIL,General acute hospital,441448,760,0,0,0,0,0,0,0,0,50.716692,-3.506694
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH802,HEAVITREE HOSPITAL ,EX1 2ED,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,26985,47,0,0,0,0,0,0,0,0,50.724743,-3.514193
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH833,OKEHAMPTON COMMUNITY HOSPITAL,EX20 1PN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1335,0.31,861,0.79,553,0.39,0,0,0,0,50.741905,-3.997224
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH834,OTTERY ST MARY HOSPITAL,EX11 1DN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,3151,0.86,1938,2.49,1874,1.66,0,0,0,0,50.750103,-3.291587
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH836,CREDITON HOSPITAL,EX17 3NH,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1482,0.23,428,0.5,234,0.3,0,0,0,0,50.792363,-3.674143
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH837,SOUTH MOLTON HOSPITAL,EX36 4DP,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),665,0.68,1627,1.35,2832,7.17,0,0,0,0,51.017013,-3.839455
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH853,TIVERTON & DISTRICT HOSPITAL,EX16 6AN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),3209,3.99,10145,11.36,7115,10.19,0,0,0,0,,
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH854,HONITON HOSPITAL,EX14 2DE,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),9731,8.31,1722,1.85,937,0.8,0,0,0,0,50.794917,-3.186587
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH857,AXMINSTER HOSPITAL,EX13 5DU,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1131,0.31,5154,3.43,766,0.53,0,0,0,0,50.783882,-2.996275
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH858,EXMOUTH HOSPITAL,EX8 2JN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),4397,0.8,4651,3.99,4303,4.22,0,0,0,0,50.620533,-3.401621
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH859,VICTORIA HOSPITAL (SIDMOUTH),EX10 8EW,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),2384,1.31,2186,2.7,4133,6.04,0,0,0,0,50.681599,-3.239667
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH868,MARDON HOUSE,EX2 4UD,NHS DEVON ICB,DEVON COUNTY COUNCIL,Other inpatient,1803,3.09,0,0,0,0,0,0,0,0,50.716577,-3.513462
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH879,SOUTH DEVON RENAL UNIT,TQ2 7JF,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,48880,30.89,0,0,2093,2.08,0,0,0,0,50.484842,-3.572271
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH880,NORTH DEVON DISTRICT HOSPITAL,EX31 4JB,NHS DEVON ICB,DEVON COUNTY COUNCIL,General acute hospital,128537,146.69,45786,91.98,37427,111.19,0,0,0,0,51.092166,-4.050455
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8A1,"NEWCOURT HOUSE, EXETER",EX2 7JU,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.703677,-3.477967
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8A4,SEATON HOSPITAL,EX12 2UU,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1085,0.23,789,0.49,340,0.07,0,0,0,0,50.711792,-3.071515
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8D6,EXETER COMMUNITY HOSPITAL,EX1 3RB,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,3316,1.25,3660,3.38,468,0.26,0,0,0,0,50.730966,-3.484168
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8G6,BIDEFORD HOSPITAL,EX39 3AG,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,332,0.5,984,1.69,1658,2.31,0,0,0,0,51.017812,-4.212783
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8H8,NHS WALK-IN CENTRE - EXETER,EX4 6NN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1247,0.29,3510,4.38,5,0.01,0,0,0,0,50.726374,-3.525637
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8K6,NHS NIGHTINGALE HOSPITAL EXETER,EX2 7JG,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,16108,22.7,0,0,0,0,0,0,0,0,50.724639,-3.464586
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH8ORS,OTHER REPORTABLE SITES,EX2 5DW,NHS DEVON ICB,DEVON COUNTY COUNCIL,Other Reportable Site,4481,1,5372,6,838,1,0,0,0,0,50.716692,-3.506694
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,V2W0R,DEVONSHIRE HOUSE,EX31 1QN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.084544,-4.081731
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ801,ST AUSTELL COMMUNITY HOSPITAL,PL26 6AD,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),21472,30.2,0,0,9024,12.69,0,0,0,0,50.327864,-4.772405
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ805,HELSTON HOSPITAL,TR13 8DR,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),9568,13.46,0,0,6112,8.6,0,0,0,0,50.091946,-5.264928
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ807,NEWQUAY HOSPITAL,TR7 1RQ,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),4064,5.72,0,0,6144,8.64,0,0,0,0,50.411047,-5.074255
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ809,ST MARY'S HOSPITAL,TR21 0LE,NHS CORNWALL AND THE ISLES OF SCILLY ICB,COUNCIL OF THE ISLES OF SCILLY,Community hospital (with inpatient beds),2368,3.38,0,0,32,0.05,0,0,0,0,49.913046,-6.309354
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ80G-X,SOWENNA UNIT,PL31 2QN,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Mental Health (including Specialist services),1568,0.46,0,0,544,0.14,0,0,0,0,50.471755,-4.740858
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ815,BOLITHO HOSPITAL,TR18 4NY,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,832,0.12,0,0,0,0,0,0,0,0,50.111385,-5.548623
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ817,CAMBORNE REDRUTH COMMUNITY HOSPITAL,TR15 3ER,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),15680,22.05,0,0,13536,19.04,0,0,0,0,50.229371,-5.244424
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ823,TREVILLIS,PL14 4EN,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,514,0.07,0,0,0,0,0,0,0,0,50.44387,-4.470624
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ842,FALMOUTH HOSPITAL,TR11 2JA,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),10208,14.4,0,0,3648,5.13,0,0,0,0,50.155671,-5.086189
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ851,KERNOW BUILDING,TR15 2SP,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,50.232399,-5.22909
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ860,"HELSTON HEALTH OFFICES, TRENGROUSE WAY",TR13 8AX,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,1952,0.87,0,0,0,0,0,0,0,0,50.100683,-5.271872
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ862,BANHAM HOUSE,PL31 2QT,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.468561,-4.741998
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ863,LONGREACH HOUSE,TR15 3ER,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Mental Health (including Specialist services),640,1.13,0,0,4000,5.63,0,0,0,0,50.229371,-5.244424
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ866,BODMIN HOSPITAL,PL31 2QT,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Mixed service hospital,9024,12.78,0,0,14880,20.93,0,0,0,0,50.468561,-4.741998
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ867,STRATTON HOSPITAL,EX23 9BR,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),7835,12.2,0,0,128,0.18,0,0,0,0,50.830739,-4.517572
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ870,LAUNCESTON HOSPITAL,PL15 9JD,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),4960,6.98,0,0,4256,5.99,0,0,0,0,50.628374,-4.359805
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8A3,LISKEARD COMMUNITY HOSPITAL,PL14 3XD,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),14080,19.8,0,0,6048,7.42,0,0,0,0,50.461573,-4.451016
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8A4,ST BARNABAS HOSPITAL,PL12 4BU,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,288,0.41,0,0,128,0.18,0,0,0,0,50.407319,-4.214082
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8A7,BODMIN HEALTH CENTRE,PL31 2LB,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.472848,-4.72264
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8C8,FALMOUTH HEALTH CENTRE,TR11 2LH,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,50.156385,-5.086067
